"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"437" 50303 NA NA NA 503 NA 0 3
"438" 50401 NA NA NA 504 NA 0 3
"439" 50402 2 0.389 0.573 504 14 0 3
"440" 50403 3 1.099 0.543 504 15 0 3
"441" 50601 1 1.246 0.543 506 16 0 1
"442" 50701 1 0.236 0.543 507 16 0 2
"443" 50702 2 -0.135 0.543 507 14 0 2
"444" 51401 1 -0.767 0.543 514 16 0 3
"445" 51402 2 -0.707 0.543 514 15 0 3
"446" 51403 3 -1.751 0.543 514 18 0 3
"447" 51501 NA NA NA 515 NA 0 2
"448" 51502 NA NA NA 515 NA 0 2
"449" 51901 1 -1.535 0.543 519 15 0 1
"450" 52201 1 -0.345 0.543 522 14 0 2
"451" 52202 2 -1.811 0.543 522 NA 0 2
"452" 52501 NA NA NA 525 NA 0 2
"453" 52502 NA NA NA 525 NA 0 2
"454" 52801 1 0.695 0.543 528 17 0 2
"455" 52802 2 -0.205 0.543 528 17 0 2
"456" 52901 NA NA NA 529 15 0 3
"457" 52902 NA NA NA 529 18 0 3
"458" 52903 NA NA NA 529 NA 0 3
"459" 53001 NA NA NA 530 NA 0 3
"460" 53002 2 -1.688 0.543 530 NA 0 3
"461" 53003 3 -1.767 0.543 530 14.5 0 3
"462" 53201 NA NA NA 532 NA 0 2
"463" 53202 NA NA NA 532 NA 0 2
"464" 53301 1 -0.247 0.543 533 15 0 1
"465" 53601 1 0.255 0.543 536 13 0 2
"466" 53602 2 0.017 0.573 536 16 0 2
"467" 54201 1 -2.813 0.543 542 17 0 2
"468" 54202 2 1.481 0.543 542 15 0 2
"469" 54401 1 1.489 0.543 544 16 0 1
"470" 54601 1 0.283 0.543 546 16 0 2
"471" 54602 2 -0.709 0.543 546 14 0 2
"472" 54801 1 -0.032 0.543 548 NA 0 4
"473" 54802 2 0.763 0.543 548 16 0 4
"474" 54803 3 1.168 0.573 548 19 0 4
"475" 54804 4 -0.766 0.543 548 NA 0 4
"476" 55001 1 0.741 0.543 550 15.5 1 2
"477" 55002 2 1.04 0.543 550 16 0 2
"478" 55201 1 1.987 0.543 552 17 0 2
"479" 55202 2 2.343 0.543 552 18 1 2
"480" 55701 1 0.775 0.543 557 NA 0 4
"481" 55702 2 1.573 0.543 557 NA 0 4
"482" 55703 3 1.568 0.543 557 15 0 4
"483" 55704 4 0.453 0.543 557 NA 0 4
"484" 55801 1 -0.239 0.543 558 16 0 3
"485" 55802 2 0.809 0.573 558 19 0 3
"486" 55803 3 0.869 0.543 558 16 0 3
"487" 56301 1 -0.125 0.543 563 27 0 3
"488" 56302 2 -0.193 0.543 563 22 0 3
"489" 56303 3 0.638 0.543 563 17 0 3
"490" 56701 1 0.711 0.543 567 17 0 2
"491" 56702 2 0.553 0.543 567 NA 0 2
"492" 56801 1 -0.151 0.543 568 19 0 1
"493" 57201 NA NA NA 572 NA 0 1
"494" 57401 NA NA NA 574 NA 0 1
"495" 57601 1 3.794 0.543 576 NA 0 4
"496" 57602 2 0.294 0.543 576 NA 0 4
"497" 57603 3 2.681 0.543 576 NA 0 4
"498" 57604 4 2.773 0.543 576 NA 0 4
"499" 57901 1 1.793 0.573 579 18 0 2
"500" 57902 2 2.01 0.573 579 NA 0 2
"501" 58201 NA NA NA 582 NA 1 1
"502" 58501 1 -1.976 0.543 585 NA 0 5
"503" 58502 2 -2.126 0.543 585 16 0 5
"504" 58503 3 -1.874 0.543 585 15 0 5
"505" 58504 4 -1.386 0.573 585 18 0 5
"506" 58505 5 0.677 0.543 585 17 0 5
"507" 58801 1 -1.033 0.555 588 17 0 4
"508" 58802 2 -0.06 0.543 588 15 0 4
"509" 58803 3 -1.151 0.543 588 13 0 4
"510" 58804 4 -0.718 0.543 588 14 0 4
"511" 58901 1 -1.158 0.543 589 16 0 2
"512" 58902 2 0.115 0.573 589 NA 0 2
"513" 59001 1 -0.92 0.543 590 NA 0 4
"514" 59002 2 -0.996 0.543 590 14 0 4
"515" 59003 3 -1.299 0.543 590 16 0 4
"516" 59004 4 -2.5 0.543 590 16 1 4
"517" 59301 NA NA NA 593 NA 0 2
"518" 59302 NA NA NA 593 NA 0 2
"519" 60401 1 1.774 0.543 604 20 0 4
"520" 60402 2 1.37 0.573 604 NA 0 4
"521" 60403 3 1.106 0.543 604 17 0 4
"522" 60404 4 2.709 0.543 604 NA 0 4
"523" 60801 1 0.813 0.543 608 18 0 3
"524" 60802 2 -1.026 0.573 608 NA 0 3
"525" 60803 3 1.951 0.543 608 NA 0 3
"526" 61101 1 0.748 0.543 611 16 0 2
"527" 61102 2 1.338 0.543 611 17 0 2
"528" 61401 1 1.452 0.543 614 17.5 0 2
"529" 61402 2 1.211 0.543 614 15 0 2
"530" 61501 1 -1.566 0.543 615 NA 0 2
"531" 61502 2 -0.174 0.573 615 NA 0 2
"532" 61801 1 0.675 0.543 618 NA 0 3
"533" 61802 2 -1.475 0.543 618 NA 0 3
"534" 61803 NA NA NA 618 15 0 3
"535" 61901 1 0.851 0.543 619 18.5 0 6
"536" 61902 2 1.838 0.543 619 19 0 6
"537" 61903 3 0.909 0.543 619 20 0 6
"538" 61904 4 2.344 0.543 619 NA 0 6
"539" 61905 5 1.844 0.543 619 NA 1 6
"540" 61906 6 -0.981 0.543 619 NA 0 6
"541" 62101 1 -0.562 0.543 621 16 0 3
